Model,Question,Reference_Answer,Generated_Answer,BLEU,ROUGE-L,BERTScore_F1,Judge_Factual (1-10),Judge_Format (1-10),Generation_Time(s)
lora_deepbac_model_llama,اشرح مصطلح: سيطرة الدولار,سيطرة الدولار على 65% من احتياطي صرف العملات.,سيطرة دولة أو حكومة على عملة موحدة (الدولار) باستعمالها في تجارة المواد الاستراتيجية والاستثمارات الضخمة...,0.0,0.0,0.6987,3.0,4.0,4.65
lora_deepbac_model_llama,عرف بالشخصيات التالية: هاري ترومان,الرئيس الثالث والثلاثون للولايات المتحدة الأمريكية (1945-1953)، اشتهر بسياسة الاحتواء تجاه الاتحاد السوفيتي، وأعلن مبدأ ترومان لدعم اليونان وتركيا ضد الشيوعية، وأطلق مشروع مارشال لإعادة إعمار أوروبا.,رئيس الولايات المتحدة الأمريكية (1945-1953) صاحب مبدأ يحمل اسمه يقسم العالم إلى معسكرين (معسكر حربي وحربي)، له دور في اندلاع الحرب الكورية والعدوان على كوريا الشمالية، كان وراء تقسيم ألمانيا وإقامة نظام الحزب الواحد في إجرابهما.,0.144,1.0,0.7535,4.0,3.0,4.69
lora_deepbac_model_llama,ما هي أهم القطاعات الاقتصادية في الجزائر؟,القطاعات: النفط والغاز، الزراعة، الصناعة، والخدمات.,القطاع الأول: الصناعي (صناعة المواد الغذائية، التextiles، الآلات)، الثاني: الفلاحي (الحبوب، الحوامض، الزيتون)، الثالث: الخامات الطبيعية (الفوسفات، الحديد).,0.0,0.0,0.7438,4.0,9.0,4.21
lora_deepbac_model_llama,حدد تاريخ هجوم جيش التحرير الوطني على الشمال القسنطيني,31/11/1955,21 ديسمبر 1956,0.0,0.0,0.7678,1.0,10.0,0.78
lora_deepbac_model_llama,ما هي أهداف منظمة الأمم المتحدة؟,أهداف منظمة الأمم المتحدة تشمل: الحفاظ على السلم والأمن الدوليين، تنمية العلاقات الودية بين الأمم، تحقيق التعاون الدولي في حل المشكلات الاقتصادية والاجتماعية والثقافية والإنسانية، وتعزيز احترام حقوق الإنسان.,أهداف منظومة الأمم المتحده: الحفاظ على السلام والأمن الدوليين، تعزيز التعاون بين الدول، وتنظيم الهيئات الدولية (الجمعية العامة والمجلس الأمني).,0.0,0.0,0.8272,5.5,9.0,3.53
lora_deepbac_model_llama,اشرح مصطلح: الثورة الزراعية.,الثورة الزراعية هي تحول جذري في أساليب الزراعة والإنتاج الغذائي، بدأت في بريطانيا في القرن الثامن عشر، وتميزت بإدخال تقنيات جديدة مثل دورة المحاصيل والميكنة، مما أدى إلى زيادة الإنتاجية ودعم الثورة الصناعية.,الثورة الزرعية: هي تحول جذري في أساليب إنتاجية الزراعة، بدأت في بريطانيا في القرن الثامن عشر، وتميزت بإدخال التقنيات الحديثة مثل الدبابيس والراكين، مما أدى إلى زيادة الإنتاجية ودعم الصناعات التحويلية.,0.4828,0.0,0.9011,5.0,9.0,4.87
lora_deepbac_model_llama,اشرح ما تحته خط في النص: التكامل الاقتصادي الأوربي,التكامل الاقتصادي الأوروبي هو عملية اندماج اقتصادي بين دول أوروبا الغربية، بدأت بإنشاء الجماعة الأوروبية للفحم والصلب (1951)، ثم السوق الأوروبية المشتركة (1957)، وصولاً إلى الاتحاد الأوروبي، بهدف تحقيق التبادل الحر، وتوحيد السياسات الاقتصادية، وزيادة التنافسية.,عملية اندماج اقتصادي بين دول الاتحاد الأوروبي تهدف إلى تحقيق التعاون والتكامل والاندماج بين اقتصاداتها وتسهيل حركة السلع والأموال والخدمات ورؤوس الأموال والتكنولوجيا بينهم، وذلك بهدف زيادة الكفاءة وتنويع الاستثمارات وتحسين القدرة التنافسية على المستوى العالمي.,0.0987,0.0,0.7722,8.0,9.0,5.55
lora_deepbac_model_llama,ما هي أسباب اندلاع الحرب العالمية الأولى؟,الأسباب: التنافس الاستعماري، السباق نحو التسلح، الأزمات الدبلوماسية، وتشكيل الأحلاف العسكرية (الوفاق الثلاثي والتحالف الثلاثي)، بالإضافة إلى اغتيال ولي عهد النمسا.,الأسباب: التنافس الاستعماري بين القوى الأوروبية، السباق نحو التسلح، تشكل الأحلاف العسكرية (التحالف الثلاثي والوفاق الثلاثи)، والأزمة البلقانية، بالإضافة إلى اغتيال ولي عهد النمسا فرانز فرديناند في سراييفو عام 1914.,0.2484,0.0,0.8788,9.5,9.5,5.81
lora_deepbac_model_llama,اشرح مصطلح: منظمة التجارة العالمية.,منظمة عالمية تجارية تأسست في المغرب عام 1995 على أنقاض اتفاقية الغات، مقرها جنيف سويسرا، تهدف إلى تنظيم العلاقات التجارية وتدعو إلى تحرير التجارة العالمية.,منظمة دولية تأسست عام 1995، تهدف إلى تحرير التجارة بين الدول الأعضاء، عن طريق تقليل الحواجز الجمركية وغير الجمركبة وتنظيم المنافسة، وتعمل على تسوية النزاعات التجارية بين الدول، وتعتبر أكبر منظمة تجارية في العالم.,0.0,1.0,0.7627,8.5,9.5,5.05
lora_deepbac_model_llama,ما هو تاريخ مظاهرات شعبية في الجزائر ضد الاستعمار الفرنسي؟,11/12/1960,20 ديسمبر 1960 (إقامة الجمهورية الثالثة والثورة التحريرية),0.0,0.4,0.6724,2.0,3.0,2.03
